index,label
0,tile-glue_strip
1,grid-thread
2,transistor-good
3,tile-glue_strip
4,tile-good
5,pill-crack
6,capsule-poke
7,hazelnut-cut
8,leather-good
9,leather-good
10,bottle-broken_large
11,wood-good
12,zipper-combined
13,screw-thread_top
14,tile-glue_strip
15,bottle-contamination
16,grid-thread
17,carpet-hole
18,carpet-good
19,pill-good
20,tile-rough
21,zipper-good
22,bottle-broken_large
23,screw-thread_side
24,pill-crack
25,screw-thread_side
26,pill-crack
27,screw-scratch_head
28,leather-good
29,wood-color
30,screw-thread_side
31,cable-good
32,screw-thread_side
33,zipper-good
34,zipper-good
35,zipper-rough
36,leather-good
37,cable-good
38,leather-color
39,metal_nut-flip
40,metal_nut-good
41,cable-combined
42,screw-thread_side
43,capsule-good
44,metal_nut-flip
45,tile-glue_strip
46,toothbrush-good
47,capsule-squeeze
48,zipper-good
49,screw-scratch_head
50,cable-good
51,transistor-damaged_case
52,hazelnut-cut
53,hazelnut-print
54,zipper-fabric_interior
55,metal_nut-scratch
56,carpet-cut
57,carpet-thread
58,leather-glue
59,capsule-good
60,transistor-good
61,pill-faulty_imprint
62,capsule-squeeze
63,zipper-fabric_interior
64,capsule-faulty_imprint
65,leather-color
66,transistor-good
67,capsule-crack
68,pill-pill_type
69,metal_nut-bent
70,grid-metal_contamination
71,wood-liquid
72,hazelnut-cut
73,tile-good
74,leather-poke
75,zipper-good
76,cable-good
77,leather-good
78,cable-good
79,cable-good
80,pill-good
81,wood-good
82,screw-scratch_head
83,wood-combined
84,transistor-good
85,bottle-broken_small
86,zipper-good
87,carpet-color
88,leather-glue
89,zipper-fabric_interior
90,leather-glue
91,zipper-good
92,cable-good
93,metal_nut-bent
94,screw-thread_side
95,tile-oil
96,transistor-good
97,transistor-good
98,metal_nut-good
99,metal_nut-good
100,cable-good
101,carpet-color
102,pill-good
103,capsule-crack
104,wood-good
105,bottle-contamination
106,zipper-rough
107,pill-good
108,transistor-good
109,hazelnut-good
110,leather-color
111,screw-scratch_neck
112,transistor-good
113,transistor-good
114,zipper-good
115,capsule-good
116,grid-glue
117,pill-contamination
118,capsule-crack
119,leather-glue
120,screw-good
121,carpet-hole
122,metal_nut-good
123,transistor-good
124,wood-hole
125,transistor-good
126,tile-glue_strip
127,transistor-cut_lead
128,pill-contamination
129,screw-thread_side
130,grid-good
131,metal_nut-color
132,pill-good
133,metal_nut-bent
134,capsule-good
135,grid-thread
136,screw-scratch_neck
137,bottle-contamination
138,pill-good
139,wood-liquid
140,transistor-good
141,hazelnut-good
142,cable-cut_inner_insulation
143,cable-good
144,zipper-fabric_interior
145,hazelnut-print
146,carpet-hole
147,zipper-good
148,zipper-rough
149,wood-good
150,zipper-good
151,wood-scratch
152,transistor-good
153,pill-good
154,zipper-good
155,tile-glue_strip
156,toothbrush-good
157,tile-gray_stroke
158,hazelnut-good
159,metal_nut-bent
160,screw-scratch_neck
161,screw-thread_side
162,screw-thread_side
163,cable-missing_wire
164,carpet-color
165,leather-fold
166,pill-crack
167,wood-good
168,zipper-fabric_interior
169,cable-cut_outer_insulation
170,carpet-hole
171,carpet-color
172,screw-manipulated_front
173,leather-glue
174,cable-good
175,pill-good
176,screw-good
177,zipper-split_teeth
178,capsule-good
179,zipper-good
180,leather-good
181,grid-glue
182,bottle-good
183,cable-missing_wire
184,pill-contamination
185,carpet-hole
186,tile-glue_strip
187,metal_nut-good
188,wood-scratch
189,transistor-cut_lead
190,pill-contamination
191,capsule-squeeze
192,zipper-good
193,hazelnut-cut
194,pill-crack
195,screw-scratch_head
196,zipper-fabric_interior
197,zipper-rough
198,zipper-good
199,hazelnut-good
200,transistor-good
201,cable-good
202,screw-scratch_head
203,bottle-broken_small
204,pill-good
205,leather-color
206,pill-good
207,pill-good
208,hazelnut-good
209,grid-glue
210,leather-good
211,capsule-poke
212,screw-good
213,wood-good
214,pill-combined
215,carpet-cut
216,capsule-squeeze
217,pill-good
218,transistor-good
219,bottle-broken_small
220,tile-oil
221,grid-bent
222,tile-glue_strip
223,bottle-broken_small
224,capsule-poke
225,metal_nut-bent
226,pill-crack
227,leather-color
228,cable-good
229,transistor-good
230,pill-contamination
231,screw-thread_side
232,zipper-combined
233,pill-good
234,zipper-good
235,capsule-poke
236,transistor-good
237,metal_nut-good
238,hazelnut-cut
239,capsule-faulty_imprint
240,metal_nut-good
241,hazelnut-cut
242,zipper-fabric_interior
243,screw-thread_side
244,wood-color
245,leather-poke
246,tile-good
247,tile-gray_stroke
248,wood-scratch
249,cable-cut_outer_insulation
250,transistor-good
251,tile-gray_stroke
252,cable-bent_wire
253,capsule-crack
254,metal_nut-flip
255,metal_nut-good
256,metal_nut-bent
257,capsule-squeeze
258,zipper-rough
259,hazelnut-good
260,hazelnut-crack
261,screw-good
262,hazelnut-good
263,hazelnut-cut
264,leather-poke
265,leather-good
266,wood-good
267,screw-scratch_neck
268,metal_nut-flip
269,cable-good
270,carpet-color
271,screw-good
272,wood-hole
273,transistor-good
274,cable-good
275,capsule-good
276,pill-good
277,capsule-good
278,transistor-good
279,zipper-fabric_interior
280,pill-combined
281,leather-good
282,transistor-good
283,pill-pill_type
284,pill-good
285,screw-good
286,grid-broken
287,tile-good
288,tile-glue_strip
289,bottle-broken_large
290,carpet-hole
291,bottle-broken_small
292,leather-fold
293,leather-cut
294,cable-good
295,zipper-fabric_interior
296,tile-gray_stroke
297,transistor-good
298,transistor-good
299,transistor-good
300,screw-scratch_neck
301,leather-glue
302,zipper-rough
303,transistor-good
304,screw-thread_side
305,pill-faulty_imprint
306,toothbrush-good
307,grid-good
308,leather-good
309,screw-good
310,screw-good
311,transistor-good
312,bottle-good
313,metal_nut-scratch
314,wood-good
315,transistor-good
316,screw-good
317,wood-good
318,wood-good
319,tile-gray_stroke
320,cable-good
321,screw-scratch_neck
322,metal_nut-bent
323,cable-cut_inner_insulation
324,leather-good
325,capsule-crack
326,screw-thread_side
327,screw-manipulated_front
328,pill-good
329,transistor-good
330,screw-scratch_neck
331,capsule-crack
332,screw-good
333,carpet-color
334,carpet-color
335,bottle-broken_small
336,tile-gray_stroke
337,metal_nut-color
338,screw-scratch_neck
339,cable-bent_wire
340,wood-good
341,screw-thread_side
342,metal_nut-good
343,tile-good
344,screw-good
345,leather-poke
346,metal_nut-flip
347,metal_nut-good
348,hazelnut-good
349,pill-pill_type
350,carpet-thread
351,cable-cable_swap
352,cable-good
353,capsule-crack
354,carpet-color
355,capsule-poke
356,cable-good
357,pill-good
358,bottle-good
359,toothbrush-defective
360,transistor-good
361,capsule-crack
362,leather-fold
363,carpet-color
364,transistor-good
365,zipper-rough
366,wood-color
367,cable-cut_inner_insulation
368,cable-good
369,leather-cut
370,hazelnut-good
371,screw-good
372,cable-good
373,bottle-good
374,hazelnut-good
375,transistor-good
376,wood-hole
377,screw-good
378,capsule-poke
379,grid-glue
380,metal_nut-good
381,screw-good
382,wood-color
383,tile-glue_strip
384,capsule-poke
385,grid-thread
386,metal_nut-bent
387,capsule-good
388,hazelnut-cut
389,screw-good
390,leather-good
391,metal_nut-bent
392,bottle-broken_small
393,leather-fold
394,capsule-crack
395,transistor-good
396,cable-good
397,bottle-contamination
398,hazelnut-print
399,tile-gray_stroke
400,wood-liquid
401,tile-gray_stroke
402,transistor-good
403,zipper-rough
404,bottle-good
405,tile-gray_stroke
406,pill-crack
407,capsule-scratch
408,leather-good
409,pill-good
410,cable-good
411,capsule-poke
412,pill-crack
413,cable-good
414,bottle-broken_small
415,transistor-good
416,leather-fold
417,transistor-good
418,hazelnut-crack
419,transistor-cut_lead
420,metal_nut-bent
421,zipper-good
422,metal_nut-good
423,carpet-color
424,carpet-cut
425,pill-good
426,zipper-rough
427,zipper-good
428,leather-good
429,transistor-damaged_case
430,bottle-broken_small
431,zipper-good
432,cable-good
433,bottle-broken_small
434,tile-glue_strip
435,hazelnut-crack
436,wood-scratch
437,pill-faulty_imprint
438,carpet-color
439,grid-thread
440,pill-crack
441,tile-oil
442,transistor-good
443,screw-manipulated_front
444,transistor-good
445,transistor-cut_lead
446,carpet-thread
447,zipper-rough
448,tile-glue_strip
449,leather-fold
450,wood-hole
451,zipper-good
452,bottle-broken_small
453,carpet-color
454,tile-gray_stroke
455,hazelnut-good
456,screw-thread_side
457,hazelnut-good
458,carpet-hole
459,metal_nut-flip
460,cable-good
461,carpet-color
462,screw-scratch_head
463,leather-poke
464,carpet-thread
465,capsule-faulty_imprint
466,capsule-crack
467,metal_nut-flip
468,screw-scratch_head
469,metal_nut-bent
470,pill-pill_type
471,metal_nut-bent
472,tile-gray_stroke
473,bottle-good
474,screw-manipulated_front
475,cable-good
476,wood-liquid
477,transistor-good
478,screw-manipulated_front
479,screw-scratch_head
480,pill-combined
481,screw-thread_side
482,carpet-cut
483,cable-good
484,screw-good
485,screw-scratch_head
486,cable-good
487,grid-good
488,hazelnut-hole
489,pill-crack
490,carpet-cut
491,cable-poke_insulation
492,cable-good
493,screw-thread_side
494,hazelnut-good
495,capsule-crack
496,transistor-cut_lead
497,toothbrush-good
498,cable-cut_inner_insulation
499,zipper-split_teeth
500,screw-good
501,tile-glue_strip
502,metal_nut-scratch
503,transistor-good
504,cable-bent_wire
505,tile-gray_stroke
506,leather-glue
507,wood-liquid
508,toothbrush-good
509,leather-good
510,capsule-poke
511,screw-manipulated_front
512,transistor-good
513,transistor-good
514,transistor-good
515,zipper-fabric_interior
516,cable-good
517,metal_nut-color
518,leather-glue
519,cable-good
520,tile-gray_stroke
521,pill-pill_type
522,wood-good
523,metal_nut-good
524,pill-good
525,zipper-fabric_border
526,cable-cable_swap
527,wood-scratch
528,capsule-crack
529,carpet-cut
530,capsule-poke
531,hazelnut-hole
532,hazelnut-good
533,hazelnut-hole
534,grid-metal_contamination
535,screw-thread_side
536,zipper-split_teeth
537,wood-scratch
538,pill-crack
539,toothbrush-good
540,cable-good
541,wood-good
542,grid-thread
543,screw-scratch_neck
544,grid-glue
545,zipper-fabric_interior
546,transistor-good
547,tile-glue_strip
548,hazelnut-good
549,pill-contamination
550,cable-good
551,capsule-squeeze
552,pill-color
553,pill-good
554,zipper-fabric_interior
555,tile-glue_strip
556,screw-good
557,capsule-squeeze
558,zipper-combined
559,screw-scratch_head
560,leather-fold
561,capsule-good
562,leather-glue
563,carpet-metal_contamination
564,cable-good
565,hazelnut-good
566,grid-glue
567,grid-thread
568,hazelnut-good
569,screw-thread_side
570,hazelnut-good
571,wood-scratch
572,hazelnut-good
573,pill-good
574,cable-good
575,wood-hole
576,zipper-split_teeth
577,carpet-color
578,grid-bent
579,zipper-fabric_border
580,pill-crack
581,metal_nut-bent
582,tile-gray_stroke
583,carpet-hole
584,transistor-good
585,transistor-good
586,transistor-good
587,carpet-color
588,leather-glue
589,transistor-good
590,screw-scratch_head
591,hazelnut-cut
592,cable-good
593,zipper-fabric_interior
594,zipper-good
595,metal_nut-color
596,carpet-cut
597,tile-gray_stroke
598,zipper-good
599,hazelnut-good
600,leather-glue
601,hazelnut-good
602,hazelnut-hole
603,cable-cut_inner_insulation
604,pill-crack
605,cable-good
606,pill-good
607,cable-good
608,transistor-good
609,pill-crack
610,metal_nut-bent
611,grid-glue
612,cable-good
613,carpet-cut
614,hazelnut-good
615,capsule-crack
616,pill-good
617,zipper-split_teeth
618,carpet-thread
619,cable-bent_wire
620,cable-good
621,cable-good
622,zipper-good
623,tile-glue_strip
624,bottle-broken_small
625,carpet-hole
626,metal_nut-bent
627,toothbrush-good
628,hazelnut-good
629,bottle-broken_small
630,leather-fold
631,toothbrush-good
632,screw-thread_side
633,screw-thread_side
634,zipper-good
635,leather-glue
636,cable-missing_wire
637,capsule-good
638,carpet-cut
639,leather-poke
640,pill-good
641,leather-fold
642,transistor-good
643,bottle-broken_large
644,carpet-hole
645,zipper-fabric_interior
646,cable-good
647,leather-poke
648,capsule-good
649,zipper-good
650,wood-hole
651,hazelnut-good
652,carpet-color
653,screw-scratch_head
654,grid-good
655,wood-good
656,screw-scratch_neck
657,capsule-good
658,capsule-crack
659,leather-good
660,transistor-good
661,cable-cut_outer_insulation
662,carpet-color
663,transistor-good
664,capsule-scratch
665,grid-glue
666,transistor-cut_lead
667,hazelnut-good
668,tile-gray_stroke
669,cable-good
670,hazelnut-good
671,pill-crack
672,bottle-good
673,pill-combined
674,pill-scratch
675,bottle-broken_large
676,wood-good
677,pill-contamination
678,cable-good
679,tile-good
680,leather-glue
681,leather-fold
682,tile-oil
683,pill-good
684,cable-good
685,tile-gray_stroke
686,tile-glue_strip
687,hazelnut-good
688,grid-good
689,leather-color
690,metal_nut-bent
691,cable-good
692,screw-manipulated_front
693,pill-good
694,grid-thread
695,cable-cut_outer_insulation
696,hazelnut-good
697,zipper-rough
698,tile-gray_stroke
699,bottle-good
700,cable-good
701,leather-poke
702,hazelnut-cut
703,screw-scratch_neck
704,bottle-broken_small
705,carpet-color
706,screw-good
707,transistor-damaged_case
708,cable-cut_outer_insulation
709,wood-scratch
710,pill-crack
711,pill-scratch
712,screw-scratch_neck
713,grid-thread
714,carpet-metal_contamination
715,wood-scratch
716,carpet-color
717,leather-glue
718,hazelnut-good
719,zipper-good
720,capsule-poke
721,transistor-good
722,screw-manipulated_front
723,transistor-good
724,zipper-fabric_border
725,transistor-good
726,pill-crack
727,hazelnut-good
728,pill-scratch
729,cable-bent_wire
730,hazelnut-good
731,bottle-good
732,pill-crack
733,pill-faulty_imprint
734,hazelnut-good
735,metal_nut-good
736,carpet-color
737,pill-combined
738,capsule-good
739,wood-scratch
740,hazelnut-good
741,carpet-thread
742,pill-combined
743,pill-good
744,tile-gray_stroke
745,carpet-hole
746,bottle-good
747,pill-good
748,pill-combined
749,capsule-squeeze
750,metal_nut-good
751,cable-good
752,metal_nut-flip
753,transistor-good
754,capsule-poke
755,tile-oil
756,zipper-good
757,bottle-good
758,pill-crack
759,capsule-good
760,screw-thread_side
761,hazelnut-hole
762,cable-combined
763,pill-contamination
764,bottle-good
765,capsule-poke
766,grid-bent
767,zipper-fabric_border
768,metal_nut-good
769,pill-good
770,wood-good
771,carpet-metal_contamination
772,wood-combined
773,zipper-combined
774,hazelnut-hole
775,screw-thread_side
776,pill-combined
777,screw-good
778,bottle-broken_large
779,capsule-scratch
780,transistor-cut_lead
781,leather-good
782,screw-good
783,wood-combined
784,cable-good
785,leather-good
786,toothbrush-good
787,toothbrush-good
788,screw-scratch_neck
789,cable-cut_outer_insulation
790,zipper-combined
791,carpet-good
792,toothbrush-good
793,toothbrush-good
794,zipper-combined
795,hazelnut-crack
796,transistor-good
797,zipper-good
798,screw-thread_side
799,pill-crack
800,zipper-good
801,hazelnut-crack
802,tile-glue_strip
803,metal_nut-color
804,tile-gray_stroke
805,wood-good
806,pill-good
807,bottle-broken_large
808,leather-glue
809,zipper-split_teeth
810,cable-good
811,capsule-good
812,capsule-poke
813,grid-metal_contamination
814,toothbrush-good
815,wood-good
816,screw-good
817,bottle-broken_small
818,tile-crack
819,screw-thread_side
820,pill-contamination
821,hazelnut-print
822,cable-good
823,metal_nut-good
824,screw-good
825,cable-good
826,capsule-crack
827,cable-good
828,hazelnut-hole
829,transistor-good
830,carpet-good
831,grid-glue
832,cable-good
833,capsule-scratch
834,zipper-good
835,tile-gray_stroke
836,capsule-squeeze
837,screw-scratch_head
838,carpet-color
839,pill-good
840,hazelnut-hole
841,bottle-broken_large
842,screw-good
843,screw-manipulated_front
844,tile-crack
845,transistor-bent_lead
846,leather-good
847,bottle-good
848,tile-oil
849,capsule-good
850,tile-glue_strip
851,wood-color
852,screw-good
853,capsule-good
854,transistor-good
855,capsule-poke
856,zipper-good
857,hazelnut-cut
858,transistor-good
859,zipper-rough
860,cable-combined
861,hazelnut-good
862,metal_nut-good
863,screw-good
864,carpet-cut
865,transistor-good
866,toothbrush-good
867,cable-cut_outer_insulation
868,zipper-fabric_interior
869,cable-good
870,carpet-good
871,leather-good
872,pill-good
873,pill-crack
874,pill-good
875,carpet-color
876,screw-scratch_neck
877,wood-hole
878,leather-color
879,leather-fold
880,hazelnut-good
881,grid-glue
882,capsule-squeeze
883,capsule-poke
884,transistor-good
885,tile-glue_strip
886,screw-scratch_head
887,pill-scratch
888,leather-good
889,metal_nut-flip
890,transistor-good
891,zipper-good
892,leather-good
893,cable-good
894,leather-cut
895,screw-good
896,pill-good
897,screw-good
898,cable-poke_insulation
899,carpet-color
900,transistor-damaged_case
901,leather-good
902,screw-thread_side
903,pill-good
904,capsule-scratch
905,zipper-rough
906,leather-good
907,capsule-scratch
908,screw-scratch_neck
909,metal_nut-good
910,tile-glue_strip
911,pill-good
912,zipper-combined
913,capsule-good
914,leather-glue
915,screw-thread_side
916,metal_nut-flip
917,screw-thread_top
918,tile-glue_strip
919,transistor-cut_lead
920,hazelnut-good
921,screw-good
922,tile-rough
923,zipper-combined
924,metal_nut-flip
925,leather-glue
926,cable-bent_wire
927,toothbrush-good
928,cable-good
929,toothbrush-good
930,tile-good
931,cable-good
932,capsule-crack
933,metal_nut-bent
934,capsule-poke
935,pill-good
936,tile-oil
937,leather-poke
938,carpet-cut
939,leather-color
940,carpet-thread
941,leather-fold
942,screw-scratch_neck
943,screw-manipulated_front
944,bottle-good
945,leather-glue
946,leather-glue
947,capsule-scratch
948,zipper-good
949,hazelnut-hole
950,capsule-poke
951,metal_nut-scratch
952,tile-gray_stroke
953,grid-good
954,screw-manipulated_front
955,carpet-thread
956,capsule-good
957,transistor-good
958,capsule-scratch
959,wood-hole
960,zipper-fabric_interior
961,screw-thread_side
962,pill-good
963,hazelnut-good
964,hazelnut-good
965,cable-missing_wire
966,screw-scratch_neck
967,hazelnut-good
968,cable-good
969,hazelnut-good
970,carpet-color
971,carpet-color
972,bottle-broken_small
973,cable-good
974,hazelnut-good
975,tile-good
976,pill-pill_type
977,leather-good
978,screw-scratch_head
979,screw-thread_side
980,leather-good
981,carpet-cut
982,screw-thread_side
983,transistor-good
984,pill-good
985,capsule-squeeze
986,grid-good
987,metal_nut-good
988,screw-thread_side
989,screw-good
990,pill-good
991,screw-scratch_neck
992,capsule-good
993,cable-missing_wire
994,cable-good
995,bottle-good
996,zipper-fabric_border
997,bottle-good
998,leather-fold
999,screw-thread_side
1000,leather-glue
1001,capsule-squeeze
1002,leather-good
1003,metal_nut-color
1004,wood-good
1005,tile-gray_stroke
1006,cable-missing_wire
1007,capsule-crack
1008,tile-gray_stroke
1009,screw-thread_side
1010,zipper-good
1011,pill-faulty_imprint
1012,tile-crack
1013,cable-good
1014,leather-glue
1015,screw-scratch_neck
1016,pill-crack
1017,zipper-fabric_interior
1018,hazelnut-crack
1019,pill-good
1020,screw-thread_side
1021,tile-rough
1022,pill-good
1023,metal_nut-good
1024,hazelnut-print
1025,cable-good
1026,metal_nut-color
1027,pill-good
1028,cable-good
1029,zipper-fabric_interior
1030,leather-poke
1031,transistor-good
1032,tile-rough
1033,metal_nut-flip
1034,capsule-good
1035,screw-thread_side
1036,pill-good
1037,capsule-good
1038,hazelnut-good
1039,capsule-good
1040,metal_nut-good
1041,tile-glue_strip
1042,transistor-cut_lead
1043,transistor-good
1044,carpet-color
1045,screw-thread_side
1046,transistor-good
1047,grid-good
1048,cable-good
1049,transistor-damaged_case
1050,cable-good
1051,carpet-color
1052,wood-good
1053,zipper-fabric_border
1054,toothbrush-good
1055,capsule-good
1056,cable-good
1057,capsule-good
1058,zipper-combined
1059,grid-good
1060,zipper-combined
1061,leather-glue
1062,cable-good
1063,screw-thread_side
1064,hazelnut-good
1065,metal_nut-bent
1066,carpet-thread
1067,metal_nut-bent
1068,carpet-hole
1069,tile-good
1070,transistor-good
1071,pill-contamination
1072,wood-scratch
1073,capsule-good
1074,screw-manipulated_front
1075,zipper-fabric_interior
1076,wood-hole
1077,screw-good
1078,bottle-good
1079,tile-glue_strip
1080,transistor-good
1081,capsule-squeeze
1082,tile-glue_strip
1083,pill-crack
1084,transistor-good
1085,bottle-good
1086,bottle-broken_small
1087,leather-fold
1088,tile-glue_strip
1089,pill-color
1090,grid-glue
1091,pill-crack
1092,zipper-good
1093,leather-good
1094,hazelnut-good
1095,metal_nut-good
1096,hazelnut-print
1097,wood-scratch
1098,transistor-damaged_case
1099,wood-color
1100,cable-bent_wire
1101,zipper-good
1102,leather-fold
1103,bottle-good
1104,tile-glue_strip
1105,carpet-hole
